"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",1,"P",-0.0828286067292054,0.0936333224950076,-0.266346546572244,0.100689333113834,1494,248,1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",1,"NP",-0.0652693425472892,0.0311243500497254,-0.126271947686968,-0.00426673740761013,1494,248,1742,NA,-2.10379446389913,NA,NA,NA,-0.488596958934457,NA,NA,NA,-0.619033926290435,NA,NA,NA,NA,NA,NA,NA
"S4",1,"NP_P",-0.00223608864089045,0.0272872723590032,-0.055718159700872,0.0512459824190911,1494,248,1742,NA,-2.07003034004374,NA,NA,NA,-0.39849018139287,NA,NA,NA,-0.754726138020396,NA,NA,NA,NA,NA,NA,NA
"S4",1,"Eff_S",-0.0593883201995131,0.0430040141948981,-0.143674639212163,0.0248979988131365,1494,248,1742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",1,"Eff_P",-0.267255176066256,0.0344910471869245,-0.3348563863417,-0.199653965790812,1494,248,1742,NA,-2.23228122115944,NA,NA,NA,-0.376096569548951,NA,NA,NA,-0.526364572557389,NA,NA,NA,NA,NA,NA,NA
"S4",1,"Eff1_union",-0.125555326063647,0.069128945827105,-0.261045570173993,0.00993491804669919,1494,248,1742,NA,-2.20456968004098,0.0809291272397585,-2.36318785473116,-2.04595150535079,-0.416106566168199,0.0779162508838784,-0.568819611710987,-0.26339352062541,-0.552996926167655,0.0937410000001303,-0.73672591004268,-0.369267942292631,NA,NA,NA,NA
"S4",1,"Eff2_union",-0.133527599024504,0.0713968521674497,-0.273462857882236,0.00640765983322792,1494,248,1742,NA,-2.20764546781551,0.080689428603538,-2.36579384181156,-2.04949709381946,-0.413694178223945,0.0768566308053079,-0.56433040657544,-0.26305794987245,-0.541937016901153,0.094653079097509,-0.727453642958091,-0.356420390844214,NA,NA,NA,NA
"S4",1,"Eff1",0.00836972172720464,0.022161912633487,-0.0350668288629531,0.0518062723173624,1494,248,1742,NA,-2.10646240471049,0.0373161817296475,-2.17960077694115,-2.03332403247983,-0.492747873302076,0.0623248683525032,-0.614902370614183,-0.37059337598997,-0.707558112563182,0.0571389828490796,-0.81954846106063,-0.595567764065735,NA,NA,NA,NA
"S4",1,"Eff2",0.0178088042744922,0.0241866464194863,-0.0295961516145056,0.06521376016349,1494,248,1742,NA,-2.09946438673557,0.037282544152369,-2.17253683052624,-2.0263919429449,-0.457009948976792,0.0431333314957418,-0.541549725241673,-0.372470172711911,-0.74533065857351,0.0559705353676693,-0.855030892089567,-0.635630425057453,NA,NA,NA,NA
"S4",2,"P",-0.200754940762941,0.131961451100863,-0.459394632268276,0.0578847507423945,1419,254,1673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
