"Scenario","estimator","n_total","n_used","n_na_ci","coverage"
"S1","P",500,500,0,0.94
"S1","NP",500,500,0,0.502
"S1","NP_P",500,500,0,0.622
"S1","Eff_S",500,500,0,0.93
"S1","Eff_P",500,500,0,0.43
"S1","Eff_union",500,500,0,0.924
"S1","Eff1",500,500,0,0.97
"S1","Eff2",500,500,0,0.966
"S2","P",500,500,0,0.938
"S2","NP",500,493,7,0.283975659229209
"S2","NP_P",500,500,0,0.35
"S2","Eff_S",500,500,0,0.928
"S2","Eff_P",500,500,0,0.602
"S2","Eff_union",500,500,0,0.906
"S2","Eff1",500,500,0,0.952
"S2","Eff2",500,500,0,0.946
"S3","P",500,500,0,0.948
"S3","NP",500,460,40,0.221739130434783
"S3","NP_P",500,450,50,0.26
"S3","Eff_S",500,500,0,0.932
"S3","Eff_P",500,500,0,0.448
"S3","Eff_union",500,500,0,0.768
"S3","Eff1",500,500,0,0.998
"S3","Eff2",500,500,0,0.998
"S4","P",500,500,0,0.94
"S4","NP",500,499,1,0.50501002004008
"S4","NP_P",500,500,0,0.618
"S4","Eff_S",500,500,0,0.872
"S4","Eff_P",500,500,0,0.22
"S4","Eff_union",500,500,0,0.852
"S4","Eff1",500,500,0,0.96
"S4","Eff2",500,500,0,0.952
